Time,Trigger,LogId,Type,LaneFrom,LaneTo,SimTime,Cycle,Repeat
1116.516,513,515,LaneChange,Lane.hiway.2,Lane.hiway.1,921.783,5,1
1131.966,519,521,LaneChange,Lane.hiway.1,Lane.hiway.2,937.2324,5,1
1135.366,520,523,LaneChange,Lane.hiway.2,Lane.hiway.1,940.6318,5,1
1140.134,522,525,LaneChange,Lane.hiway.1,Lane.hiway.2,945.3985,5,1
1142.55,524,528,LaneChange,Lane.hiway.2,Lane.hiway.1,947.8155,5,1
1145.4,526,530,LaneChange,Lane.hiway.1,Lane.hiway.2,950.6654,5,1
1148.633,529,533,LaneChange,Lane.hiway.2,Lane.hiway.1,953.8989,5,1
1168,536,541,LaneChange,Lane.hiway.1,Lane.hiway.2,973.26465,5,1
1174.267,546,552,LaneChange,Lane.hiway.2,Lane.hiway.1,979.5313,5,1
1187.767,550,556,LaneChange,Lane.hiway.1,Lane.hiway.2,993.0317,5,1
1191.384,554,560,LaneChange,Lane.hiway.2,Lane.hiway.1,996.6484,5,1
1215.018,561,567,LaneChange,Lane.hiway.1,Lane.hiway.2,1020.28174,5,1
1218.318,563,569,LaneChange,Lane.hiway.2,Lane.hiway.1,1023.5822,5,1
1295.485,584,591,LaneChange,Lane.hiway.1,Lane.hiway.2,1094.6826,6,1
1298.236,588,595,LaneChange,Lane.hiway.2,Lane.hiway.1,1097.4324,6,1
1310.252,593,602,LaneChange,Lane.hiway.1,Lane.hiway.2,1109.4491,6,1
1315.369,601,610,LaneChange,Lane.hiway.2,Lane.hiway.1,1114.5648,6,1
1354.686,617,626,LaneChange,Lane.hiway.1,Lane.hiway.2,1153.8807,6,1
1356.353,625,635,LaneChange,Lane.hiway.2,Lane.hiway.1,1155.331,6,1
1397.536,647,657,LaneChange,Lane.hiway.1,Lane.hiway.2,1188.6516,6,2
1399.903,649,659,LaneChange,Lane.hiway.2,Lane.hiway.1,1191.018,6,2
1410.17,654,665,LaneChange,Lane.hiway.1,Lane.hiway.2,1201.2845,6,2
1416.036,661,673,LaneChange,Lane.hiway.2,Lane.hiway.1,1207.1512,6,2
1499.671,702,716,LaneChange,Lane.hiway.1,Lane.hiway.2,1282.7035,6,3
1502.137,705,719,LaneChange,Lane.hiway.2,Lane.hiway.1,1285.1703,6,3
1511.171,708,722,LaneChange,Lane.hiway.1,Lane.hiway.2,1294.2035,6,3
1517.404,715,731,LaneChange,Lane.hiway.2,Lane.hiway.1,1300.4376,6,3
1554.555,726,742,LaneChange,Lane.hiway.1,Lane.hiway.2,1337.5889,6,3
1557.788,728,744,LaneChange,Lane.hiway.2,Lane.hiway.1,1340.8221,6,3
1597.639,740,758,LaneChange,Lane.hiway.1,Lane.hiway.2,1380.6675,6,3
1600.506,744,762,LaneChange,Lane.hiway.2,Lane.hiway.1,1383.5342,6,3
1623.389,750,769,LaneChange,Lane.hiway.1,Lane.hiway.2,1406.4167,6,3
1634.473,766,786,LaneChange,Lane.hiway.2,Lane.hiway.1,1417.502,6,3
1738.783,786,806,LaneChange,Lane.hiway.1,Lane.hiway.2,1471.5197,7,1
1743.583,789,809,LaneChange,Lane.hiway.2,Lane.hiway.1,1476.3202,7,1
1759.383,797,817,LaneChange,Lane.hiway.1,Lane.hiway.2,1492.1201,7,1
1762.25,798,819,LaneChange,Lane.hiway.2,Lane.hiway.1,1494.9861,7,1
1763.517,800,821,LaneChange,Lane.hiway.1,Lane.hiway.2,1496.2524,7,1
1764.659,804,825,LaneChange,Lane.hiway.2,Lane.hiway.1,1497.3854,7,1
1775.967,811,833,LaneChange,Lane.hiway.1,Lane.hiway.2,1508.7015,7,1
1779.1,813,835,LaneChange,Lane.hiway.2,Lane.hiway.1,1511.8345,7,1
1796.267,821,844,LaneChange,Lane.hiway.1,Lane.hiway.2,1529.0043,7,1
1803.301,829,853,LaneChange,Lane.hiway.2,Lane.hiway.1,1536.0386,7,1
1815.934,833,857,LaneChange,Lane.hiway.1,Lane.hiway.2,1548.6714,7,1
1819.55,837,861,LaneChange,Lane.hiway.2,Lane.hiway.1,1552.2872,7,1
1843.501,844,868,LaneChange,Lane.hiway.1,Lane.hiway.2,1576.2354,7,1
1845.968,846,870,LaneChange,Lane.hiway.2,Lane.hiway.1,1578.7015,7,1
1922.285,867,892,LaneChange,Lane.hiway.1,Lane.hiway.2,1650.5858,8,1
1924.385,871,896,LaneChange,Lane.hiway.2,Lane.hiway.1,1652.6857,8,1
1935.478,876,902,LaneChange,Lane.hiway.1,Lane.hiway.2,1663.7681,8,1
1940.152,882,909,LaneChange,Lane.hiway.2,Lane.hiway.1,1668.4509,8,1
1985.803,912,939,LaneChange,Lane.hiway.1,Lane.hiway.2,1714.1013,8,1
1992.303,916,943,LaneChange,Lane.hiway.2,Lane.hiway.1,1720.5999,8,1
2023.27,925,952,LaneChange,Lane.hiway.1,Lane.hiway.2,1751.5681,8,1
2026.27,929,956,LaneChange,Lane.hiway.2,Lane.hiway.1,1754.5684,8,1
2048.821,936,963,LaneChange,Lane.hiway.1,Lane.hiway.2,1777.1223,8,1
2058.27,945,975,LaneChange,Lane.hiway.2,Lane.hiway.1,1786.5725,8,1
