Time,Trigger,LogId,Type,LaneFrom,LaneTo,SimTime,Cycle,Repeat
29.798,15,15,LaneChange,Lane.hiway.1,Lane.hiway.2,29.536604,1,1
33.881,18,18,LaneChange,Lane.hiway.2,Lane.hiway.1,33.62002,1,1
50.515,24,24,LaneChange,Lane.hiway.1,Lane.hiway.2,50.253067,1,1
56.349,28,28,LaneChange,Lane.hiway.2,Lane.hiway.1,56.08644,1,1
65.249,31,31,LaneChange,Lane.hiway.1,Lane.hiway.2,64.98624,1,1
67.649,34,34,LaneChange,Lane.hiway.2,Lane.hiway.1,67.38628,1,1
81.066,41,41,LaneChange,Lane.hiway.1,Lane.hiway.2,80.80273,1,1
85.382,45,45,LaneChange,Lane.hiway.2,Lane.hiway.1,85.119286,1,1
91.616,48,48,LaneChange,Lane.hiway.1,Lane.hiway.2,91.35268,1,1
94.749,51,51,LaneChange,Lane.hiway.2,Lane.hiway.1,94.485886,1,1
123.283,61,61,LaneChange,Lane.hiway.1,Lane.hiway.2,123.01903,1,1
128.65,65,65,LaneChange,Lane.hiway.2,Lane.hiway.1,128.38567,1,1
131.25,69,69,LaneChange,Lane.hiway.1,Lane.hiway.2,130.98552,1,1
135.943,75,75,LaneChange,Lane.hiway.2,Lane.hiway.1,135.66882,1,1
145.217,80,80,LaneChange,Lane.hiway.1,Lane.hiway.2,144.9523,1,1
170.7,96,97,LaneChange,Lane.hiway.2,Lane.hiway.1,170.43533,1,1
223.101,113,114,LaneChange,Lane.hiway.1,Lane.hiway.2,215.58504,2,1
228.934,118,119,LaneChange,Lane.hiway.2,Lane.hiway.1,221.41817,2,1
232.818,123,124,LaneChange,Lane.hiway.1,Lane.hiway.2,225.30148,2,1
238.385,129,128,LaneChange,Lane.hiway.2,Lane.hiway.1,230.86815,2,1
276.268,140,139,LaneChange,Lane.hiway.1,Lane.hiway.2,268.75146,2,1
297.552,159,159,LaneChange,Lane.hiway.2,Lane.hiway.1,290.0349,2,1
320.953,168,168,LaneChange,Lane.hiway.1,Lane.hiway.2,313.435,2,1
321.936,172,172,LaneChange,Lane.hiway.2,Lane.hiway.1,314.42786,2,1
325.286,181,181,LaneChange,Lane.hiway.1,Lane.hiway.2,317.0777,2,1
362.036,202,203,LaneChange,Lane.hiway.1,Lane.hiway.2,346.44482,2,2
365.203,205,206,LaneChange,Lane.hiway.2,Lane.hiway.1,349.61176,2,2
367.836,211,212,LaneChange,Lane.hiway.1,Lane.hiway.2,352.24512,2,2
375.287,219,220,LaneChange,Lane.hiway.2,Lane.hiway.1,359.69516,2,2
414.07,231,232,LaneChange,Lane.hiway.1,Lane.hiway.2,398.4791,2,2
436.12,252,254,LaneChange,Lane.hiway.2,Lane.hiway.1,420.52896,2,2
460.921,266,267,LaneChange,Lane.hiway.1,Lane.hiway.2,445.32886,2,2
464.688,271,272,LaneChange,Lane.hiway.2,Lane.hiway.1,449.09546,2,2
487.905,282,283,LaneChange,Lane.hiway.1,Lane.hiway.2,472.31277,2,2
491.271,288,289,LaneChange,Lane.hiway.2,Lane.hiway.1,475.6793,2,2
631.237,309,311,LaneChange,Lane.hiway.1,Lane.hiway.2,535.52954,3,1
634.087,312,314,LaneChange,Lane.hiway.2,Lane.hiway.1,538.3797,3,1
652.804,318,320,LaneChange,Lane.hiway.1,Lane.hiway.2,557.09784,3,1
657.054,322,324,LaneChange,Lane.hiway.2,Lane.hiway.1,561.3474,3,1
666.471,326,328,LaneChange,Lane.hiway.1,Lane.hiway.2,570.7641,3,1
668.487,329,331,LaneChange,Lane.hiway.2,Lane.hiway.1,572.7808,3,1
681.403,335,337,LaneChange,Lane.hiway.1,Lane.hiway.2,585.6982,3,1
695.237,343,345,LaneChange,Lane.hiway.2,Lane.hiway.1,599.5318,3,1
725.204,352,354,LaneChange,Lane.hiway.1,Lane.hiway.2,629.4981,3,1
727.454,355,357,LaneChange,Lane.hiway.2,Lane.hiway.1,631.74774,3,1
731.388,361,363,LaneChange,Lane.hiway.1,Lane.hiway.2,635.6809,3,1
734.871,365,367,LaneChange,Lane.hiway.2,Lane.hiway.1,639.1646,3,1
744.688,370,372,LaneChange,Lane.hiway.1,Lane.hiway.2,648.98175,3,1
769.321,390,391,LaneChange,Lane.hiway.2,Lane.hiway.1,673.61646,3,1
823.906,409,410,LaneChange,Lane.hiway.1,Lane.hiway.2,721.2839,4,1
826.173,412,413,LaneChange,Lane.hiway.2,Lane.hiway.1,723.55035,4,1
829.223,419,420,LaneChange,Lane.hiway.1,Lane.hiway.2,726.6005,4,1
837.089,425,426,LaneChange,Lane.hiway.2,Lane.hiway.1,734.4674,4,1
876.007,437,438,LaneChange,Lane.hiway.1,Lane.hiway.2,773.38446,4,1
897.207,461,463,LaneChange,Lane.hiway.2,Lane.hiway.1,794.5835,4,1
922.04,472,474,LaneChange,Lane.hiway.1,Lane.hiway.2,819.41626,4,1
925.457,479,481,LaneChange,Lane.hiway.2,Lane.hiway.1,822.8329,4,1
1110.766,508,511,LaneChange,Lane.hiway.1,Lane.hiway.2,916.0329,5,1
