Time,Trigger,LogId,Type,LaneFrom,LaneTo,SimTime,Cycle,Repeat
29.684,19,19,LaneChange,Lane.hiway.1,Lane.hiway.2,29.409946,1,1
38.301,23,23,LaneChange,Lane.hiway.2,Lane.hiway.1,38.02663,1,1
49.369,28,28,LaneChange,Lane.hiway.1,Lane.hiway.2,49.09315,1,1
68.802,36,36,LaneChange,Lane.hiway.2,Lane.hiway.1,68.52679,1,1
111.052,64,64,LaneChange,Lane.hiway.1,Lane.hiway.2,102.66003,1,2
116.902,68,68,LaneChange,Lane.hiway.2,Lane.hiway.1,108.50998,1,2
129.569,73,73,LaneChange,Lane.hiway.1,Lane.hiway.2,121.17683,1,2
139.27,78,78,LaneChange,Lane.hiway.2,Lane.hiway.1,130.87688,1,2
189.837,119,114,LaneChange,Lane.hiway.1,Lane.hiway.2,173.36009,1,3
197.137,124,119,LaneChange,Lane.hiway.2,Lane.hiway.1,180.65999,1,3
211.737,131,124,LaneChange,Lane.hiway.1,Lane.hiway.2,195.25989,1,3
219.104,135,128,LaneChange,Lane.hiway.2,Lane.hiway.1,202.62643,1,3
227.354,138,131,LaneChange,Lane.hiway.1,Lane.hiway.2,210.87639,1,3
231.254,143,136,LaneChange,Lane.hiway.2,Lane.hiway.1,214.77623,1,3
242.338,148,141,LaneChange,Lane.hiway.1,Lane.hiway.2,225.85953,1,3
247.671,151,144,LaneChange,Lane.hiway.2,Lane.hiway.1,231.19281,1,3
253.187,155,148,LaneChange,Lane.hiway.1,Lane.hiway.2,236.70932,1,3
257.354,159,152,LaneChange,Lane.hiway.2,Lane.hiway.1,240.87596,1,3
284.405,168,161,LaneChange,Lane.hiway.1,Lane.hiway.2,267.9263,1,3
290.905,172,165,LaneChange,Lane.hiway.2,Lane.hiway.1,274.42654,1,3
294.839,178,171,LaneChange,Lane.hiway.1,Lane.hiway.2,278.3598,1,3
300.455,187,180,LaneChange,Lane.hiway.2,Lane.hiway.1,283.97632,1,3
318.055,196,189,LaneChange,Lane.hiway.1,Lane.hiway.2,301.57675,1,3
335.606,213,207,LaneChange,Lane.hiway.2,Lane.hiway.1,319.12665,1,3
387.923,230,224,LaneChange,Lane.hiway.1,Lane.hiway.2,362.36047,2,1
394.389,235,229,LaneChange,Lane.hiway.2,Lane.hiway.1,368.82742,2,1
399.74,248,242,LaneChange,Lane.hiway.1,Lane.hiway.2,374.17752,2,1
406.757,265,258,LaneChange,Lane.hiway.2,Lane.hiway.1,381.19437,2,1
438.107,274,267,LaneChange,Lane.hiway.1,Lane.hiway.2,412.5451,2,1
466.907,297,291,LaneChange,Lane.hiway.2,Lane.hiway.1,441.34497,2,1
485.224,302,296,LaneChange,Lane.hiway.1,Lane.hiway.2,459.6616,2,1
486.208,306,300,LaneChange,Lane.hiway.2,Lane.hiway.1,460.64496,2,1
497.591,345,339,LaneChange,Lane.hiway.1,Lane.hiway.2,472.028,2,1
504.892,358,352,LaneChange,Lane.hiway.2,Lane.hiway.1,479.3281,2,1
518.224,363,357,LaneChange,Lane.hiway.1,Lane.hiway.2,492.66125,2,1
524.325,365,359,LaneChange,Lane.hiway.2,Lane.hiway.1,498.7612,2,1
1115.213,387,380,LaneChange,Lane.hiway.1,Lane.hiway.2,553.62866,3,1
1120.913,391,384,LaneChange,Lane.hiway.2,Lane.hiway.1,559.32904,3,1
1135.33,396,389,LaneChange,Lane.hiway.1,Lane.hiway.2,573.7459,3,1
1142.713,400,393,LaneChange,Lane.hiway.2,Lane.hiway.1,581.12897,3,1
1156.03,415,408,LaneChange,Lane.hiway.1,Lane.hiway.2,594.4444,3,1
1160.847,428,421,LaneChange,Lane.hiway.2,Lane.hiway.1,599.2616,3,1
1171.614,432,425,LaneChange,Lane.hiway.1,Lane.hiway.2,610.0282,3,1
1174.947,435,428,LaneChange,Lane.hiway.2,Lane.hiway.1,613.3615,3,1
1184.447,447,440,LaneChange,Lane.hiway.1,Lane.hiway.2,622.86237,3,1
1192.248,466,458,LaneChange,Lane.hiway.2,Lane.hiway.1,630.6619,3,1
1215.931,472,464,LaneChange,Lane.hiway.1,Lane.hiway.2,654.34424,3,1
1220.565,476,468,LaneChange,Lane.hiway.2,Lane.hiway.1,658.97723,3,1
1222.748,478,470,LaneChange,Lane.hiway.1,Lane.hiway.2,661.16064,3,1
1225.782,480,472,LaneChange,Lane.hiway.2,Lane.hiway.1,664.1939,3,1
1249.465,496,488,LaneChange,Lane.hiway.1,Lane.hiway.2,687.87714,3,1
1262.499,511,504,LaneChange,Lane.hiway.2,Lane.hiway.1,700.9116,3,1
